Noun,A+N,F+N,all+N,O-Den,Bare Singular,Bare Plural,Non-Denumerators,a/an,number,digits,plural numeral,approximative,comparative,round numbers,imprecise quantifier,precise quantifier,non denumerating quantifier,measure,non quantificational,partitive,the,N/A,Celex_Countable,Celex_Uncountable,Noun Count,Plural Noun Percentage
stardom,0,0,0,0,0.804,0,1,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.833333333,0,0,1,334,0
stardust,0,0,0,0,0.702,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.9375,0,0,1,110,0
stare,0.017094017,0.111111111,0,0.017094017,0.016,0.399,0.846153846,0.017094017,0.017094017,0,0,0,0,0,0.111111111,0,0,0,0.076923077,0,0.769230769,0.008547009,1,0,326,0.929
starfish,0.737704918,0,0,0.06557377,0.364,0.014,0.196721311,0.737704918,0,0,0.016393443,0,0,0,0,0.049180328,0,0,0.016393443,0,0.180327869,0,1,0,159,0.019
stargazer,0.2,0.133333333,0,0.2,0.241,0.362,0.466666667,0.2,0.133333333,0,0,0,0,0,0.066666667,0.066666667,0,0,0.133333333,0,0.333333333,0,1,0,67,0.493
stargazing,0.142857143,0,0,0,0.647,0,0.857142857,0.142857143,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0.428571429,0,0,1,51,0
starlet,0.461538462,0.012820513,0,0.08974359,0.273,0.225,0.423076923,0.461538462,0.038461538,0,0,0,0,0,0.012820513,0.051282051,0,0,0.08974359,0,0.333333333,0.012820513,1,0,205,0.302
starlight,0.011235955,0,0,0.033707865,0.632,0.004,0.95505618,0.011235955,0.02247191,0.011235955,0,0,0,0,0,0,0,0,0.033707865,0,0.921348315,0,0,1,357,0.003
starling,0.263157895,0.052631579,0,0,0.719,0.076,0.631578947,0.263157895,0,0,0,0,0,0.026315789,0.026315789,0,0,0,0.052631579,0,0.552631579,0.052631579,1,0,658,0.106
stars,0.026315789,0.004048583,0.020242915,0.113360324,0.474,0,0.846153846,0.018218623,0.099190283,0.016194332,0.002024291,0,0,0,0.004048583,0.004048583,0,0,0,0,0.844129555,0.010121457,0,0,1382,0
start,0.301927711,0.00626506,0.000240964,0.094216867,0.219,0.033,0.561325301,0.295903614,0.048674699,0.047951807,0,0,0.000240964,0.000240964,0.005783133,0.004578313,0.000240964,0,0.01373494,0,0.547228916,0.035180723,1,1,13578,0.108
